구분,DIA,출근시간,1차 출발시각,1차 출발역,1차기운영,1차 도착시각,1차 도착역,2차 출발시각,2차 출발역,2차기운영,2차 도착시각,2차 도착역,3차 출발시간,3차 출발역,3차기운영,3차 도착시간,3차 도착역,4차 출발시간,4차 출발역,4차기운영,4차 도착시간,4차 도착역,5차 출발시간,5차 출발역,5차기운영,5차 도착시간,5차 도착역,6차 출발시간,6차 출발역,6차기운영,6차 도착시간,6차 도착역,퇴근시간,,계,운전시간,대기시간,편승시간,감시시간,준비시간,정리시간,심야시간
평일,1,,7:54,고기,1048,8:21,답십,9:03,답십,5567,9:36,마천,9:46,상일,1021,10:02,고기,17:39,고기,1066,18:06,답십,,,,,,,,,,,18:37,,7:54,1:54,2:30,0:00,0:00,2:00,1:30,0:00
평일,2,,10:48,상일,1029,10:53,고기,17:24,고기,1062,17:51,답십,,,,,,,,,,,,,,,,,,,,,18:21,,6:45,1:15,2:30,0:00,0:00,1:30,1:30,0:00
평일,3,,8:04,고기,1050,8:31,답십,9:05,답십,5047,9:33,고기,17:00,고기,1058,17:05,상일,17:14,강동,5657,18:10,답십,,,,,,,,,,,18:41,,8:06,2:06,2:30,0:00,0:00,2:00,1:30,0:00
평일,4,,7:04,답십,5024,9:45,고기,16:36,고기,1054,16:41,상일,16:58,강동,5651,17:47,답십,,,,,,,,,,,,,,,,18:17,,10:51,3:51,4:00,0:00,0:00,1:30,1:30,0:00
평일,5,,7:07,답십,5015,7:35,하풍,7:47,하풍,5046,10:30,답십,16:09,답십,5123,16:37,하풍,16:50,상일,1033,16:56,고기,,,,,,,,,,,17:58,,9:41,4:11,4:00,0:00,0:00,0:30,1:00,0:00
평일,6,,7:09,답십,5514,9:20,답십,12:00,답십,5603,15:07,답십,,,,,,,,,,,,,,,,,,,,,15:38,,8:58,5:19,2:39,0:00,0:00,0:30,0:30,0:00
평일,7,,8:15,고기,1052,8:42,답십,9:14,답십,5571,9:47,마천,10:10,상일,1023,10:15,고기,18:07,고기,1072,18:34,답십,,,,,,,,,,,19:04,,7:56,1:56,2:30,0:00,0:00,2:00,1:30,0:00
평일,8,,7:21,답십,5028,9:31,답십,12:05,덥삽,5094,15:12,답십,,,,,,,,,,,,,,,,,,,,,15:43,,8:51,5:18,2:33,0:00,0:00,0:30,0:30,0:00
평일,9,,7:24,답십,5533,10:36,답십,13:25,답십,5617,14:24,답십,15:08,답십,5113,15:36,하풍,15:53,하풍,5136,16:21,답십,,,,,,,,,,,16:52,,9:57,5:25,3:32,0:00,0:00,0:30,0:30,0:00
평일,10,,7:25,답십,5518,9:36,답십,12:30,답십,5098,15:37,답십,,,,,,,,,,,,,,,,,,,,,19:07,,9:11,5:18,2:53,0:00,0:00,0:30,0:30,0:00
평일,11,,7:29,답십,5019,7:58,하풍,8:07,하풍,5054,10:48,답십,14:31,답십,5118,16:38,답십,,,,,,,,,,,,,,,,17:08,,10:08,5:26,3:42,0:00,0:00,0:30,0:30,0:00
평일,12,,7:29,답십,5030,9:40,답십,12:37,답십,5609,15:44,답십,,,,,,,,,,,,,,,,,,,,,16:15,,9:14,5:18,2:56,0:00,0:00,0:30,0:30,0:00
평일,13,,7:36,답십,5032,9:50,답십,12:42,답십,5100,15:50,답십,,,,,,,,,,,,,,,,,,,,,16:20,,9:12,5:21,2:51,0:00,0:00,0:30,0:30,0:00
평일,14,,7:41,답십,5522,8:17,영구,8:37,영구,5571,9:13,답십,12:49,답십,5611,15:56,답십,,,,,,,,,,,,,,,,16:27,,9:16,4:22,3:54,0:00,0:00,0:30,0:30,0:00
평일,15,,7:44,답십,5541,9:54,방기,14:38,영구,5635,16:15,답십,,,,,,,,,,,,,,,,,,,,,16:46,,8:41,3:47,2:54,0:00,0:00,0:30,1:30,0:00
평일,16,,7:47,답십,5524,8:23,영구,8:48,영구,5053,9:24,답십,13:01,답십,5613,16:08,답십,,,,,,,,,,,,,,,,16:39,,9:22,4:22,4:00,0:00,0:00,0:30,0:30,0:00
평일,17,,7:50,답십,5036,10:29,하풍,10:35,하풍,5084,11:04,답십,15:13,답십,5614,17:21,답십,,,,,,,,,,,,,,,,17:51,,10:22,5:22,4:00,0:00,0:00,0:30,0:30,0:00
평일,18,,7:53,답십,5526,11:10,답십,15:37,답십,5618,17:45,답십,,,,,,,,,,,,,,,,,,,,,18:15,,10:25,5:25,4:00,0:00,0:00,0:30,0:30,0:00
평일,19,,7:56,답십,5038,8:33,영구,13:12,답십,5594,15:48,하풍,16:05,하풍,5138,16:33,답십,,,,,,,,,,,,,,,,17:04,,8:57,3:59,3:58,0:00,0:00,0:30,0:30,0:00
평일,20,,7:59,답십,5528,10:39,하풍,10:47,하풍,5086,11:16,답십,15:50,답십,5620,18:02,답십,,,,,,,,,,,,,,,,18:32,,10:29,5:29,4:00,0:00,0:00,0:30,0:30,0:00
