구분,DIA,출근시간,1차 출발시각,1차 출발역,1차기운영,1차 도착시각,1차 도착역,2차 출발시각,2차 출발역,2차기운영,2차 도착시각,2차 도착역,3차 출발시간,3차 출발역,3차기운영,3차 도착시간,3차 도착역,4차 출발시간,4차 출발역,4차기운영,4차 도착시간,4차 도착역,5차 출발시간,5차 출발역,5차기운영,5차 도착시간,5차 도착역,퇴근시간,,계,운전시간,대기시간,편승시간,감시시간,준비시간,정리시간,심야시간,,
평일,1,,7:03,영구,5021,8:08,하풍,8:19,하풍,5058,10:24,영구,13:29,영구,5102,15:01,답십,,,,,,,,,,,16:12,,9:37,4:53,3:04,0:40,0:00,0:30,0:30,0:00,,
평일,2,,7:16,영구,5020,8:52,답십,13:32,영구,5103,14:36,하풍,15:02,하풍,5128,17:03,영구,,,,,,,,,,,17:33,,10:47,5:08,3:59,0:40,0:00,0:30,0:30,0:00,,
평일,3,,7:16,영구,5545,9:35,영구,12:59,영구,5586,15:00,하풍,15:15,하풍,5130,16:19,영구,,,,,,,,,,,16:49,,10:00,5:37,3:23,0:00,0:00,0:30,0:30,0:00,,
평일,4,,7:22,영구,5510,9:29,하풍,9:36,하풍,5074,10:40,영구,15:07,답십,5124,16:39,영구,,,,,,,,,,,17:09,,10:17,4:51,3:46,0:40,0:00,0:30,0:30,0:00,,
평일,5,,7:28,영구,5022,9:05,답십,9:21,답십,5573,10:57,영구,14:05,영구,5108,15:02,영구,,,,,,,,,,,15:33,,8:35,4:12,3:23,0:00,0:00,0:30,0:30,0:00,,
평일,6,,13:11,영구,5588,15:12,하풍,15:28,하풍,5132,16:32,영구,,,,,,,,,,,,,,,,17:02,,10:01,5:31,2:30,1:00,0:00,0:30,0:30,0:00,,
평일,7,,7:30,영구,5027,8:35,하풍,8:43,하풍,5064,10:48,영구,14:18,영구,5110,15:15,영구,,,,,,,,,,,15:45,,8:45,4:16,3:29,0:00,0:00,0:30,0:30,0:00,,
평일,8,,7:34,영구,5512,9:39,하풍,9:47,하풍,5076,10:51,영구,13:59,영구,5596,14:56,영구,,,,,,,,,,,16:51,,8:22,4:15,3:07,0:00,0:00,0:30,0:30,0:00,,
평일,9,,7:34,영구,5549,8:10,답십,8:27,답십,5050,9:35,방기,17:10,방기,1555,17:40,영구,,,,,,,,,,,18:10,,9:15,2:15,4:00,0:00,0:00,1:30,1:30,0:00,,
평일,10,,8:05,방기,1551,8:36,영구,12:53,영구,5096,16:00,영구,,,,,,,,,,,,,,,,16:30,,9:09,3:39,4:00,0:00,0:00,1:00,0:30,0:00,,
평일,11,,7:38,영구,5029,8:43,하풍,8:53,하풍,5066,10:29,방기,16:45,방기,1553,17:15,영구,,,,,,,,,,,18:21,,10:21,3:21,4:00,0:00,0:00,1:30,1:30,0:00,,
평일,12,,7:50,영구,5033,8:55,하풍,9:04,하풍,5068,11:06,영구,17:21,방기,1557,17:51,영구,,,,,,,,,,,18:42,,10:37,3:47,4:00,0:50,0:00,1:30,0:30,0:00,,
평일,13,,7:56,영구,5035,8:32,답십,8:52,답십,5548,10:00,방기,17:27,방기,1559,18:34,답십,,,,,,,,,,,19:45,,10:32,2:52,4:00,0:40,0:00,1:30,1:30,0:00,,
평일,14,,7:59,영구,5557,11:12,영구,17:34,방기,1561,18:04,영구,,,,,,,,,,,,,,,,18:52,,10:34,3:44,4:00,0:50,0:00,1:30,0:30,0:00,,
평일,15,,7:47,영구,5553,11:00,영구,17:41,방기,1563,18:11,영구,,,,,,,,,,,,,,,,18:35,,10:34,3:44,4:00,0:50,0:00,1:30,0:30,0:00,,
평일,16,,7:54,영구,5516,11:09,영구,17:45,방기,1565,18:15,영구,,,,,,,,,,,,,,,,18:45,,10:36,3:46,4:00,0:50,0:00,1:30,0:30,0:00,,
평일,17,,8:02,영구,5037,9:07,하풍,9:14,하풍,5070,11:18,영구,17:52,방기,1567,18:22,영구,,,,,,,,,,,18:59,,10:37,3:47,4:00,0:50,0:00,1:30,0:30,0:00,,
평일,18,,8:05,영구,5559,9:08,마천,9:42,상일,1017,9:47,고기,11:53,답십,5092,12:28,영구,16:00,영구,5616,16:57,영구,,,,,,17:27,,10:00,3:14,3:56,0:50,0:00,0:30,1:30,0:00,,
평일,19,,8:10,영구,5520,11:21,영구,17:59,방기,1569,18:29,영구,,,,,,,,,,,,,,,,19:06,,10:32,3:42,4:00,0:50,0:00,1:30,0:30,0:00,,
평일,20,,8:11,영구,5561,10:24,영구,14:30,영구,5112,17:39,영구,,,,,,,,,,,,,,,,18:09,,10:23,5:23,4:00,0:00,0:00,0:30,0:30,0:00,,
평일,21,,8:13,영구,5041,9:19,하풍,9:25,하풍,5072,11:30,영구,17:03,영구,5665,19:14,영구,,,,,,,,,,,19:44,,10:28,5:28,4:00,0:00,0:00,0:30,0:30,0:00,,
평일,22,,8:18,영구,5043,8:55,답십,9:25,답십,5053,9:54,하풍,9:59,하풍,5078,11:03,영구,14:42,영구,5114,17:51,영구,,,,,,18:21,,10:25,5:25,4:00,0:00,0:00,0:30,0:30,0:00,,
평일,23,,8:18,영구,5522,8:48,방기,14:50,영구,5637,18:01,영구,,,,,,,,,,,,,,,,18:31,,10:31,3:41,4:00,0:50,0:00,0:30,1:30,0:00,,
평일,24,,8:21,영구,5565,10:35,영구,14:20,영구,5111,15:24,하풍,15:41,하풍,5134,17:44,영구,,,,,,,,,,,18:14,,10:23,5:38,3:45,0:00,0:00,0:30,0:30,0:00,,
평일,25,,8:21,영구,5034,11:33,영구,16:51,영구,5663,19:07,영구,,,,,,,,,,,,,,,,19:37,,10:28,5:28,4:00,0:00,0:00,0:30,0:30,0:00,,
평일,26,,8:24,영구,5524,8:54,방기,14:54,영구,5116,18:02,영구,,,,,,,,,,,,,,,,18:32,,10:28,3:38,4:00,0:50,0:00,0:30,1:30,0:00,,
평일,27,,8:26,영구,5567,9:02,답십,11:34,영구,5572,14:41,영구,,,,,,,,,,,,,,,,15:12,,7:15,3:45,1:50,0:40,0:00,0:30,0:30,0:00,,
평일,28,,8:31,영구,5569,11:17,방기,18:16,방기,1573,18:46,영구,,,,,,,,,,,,,,,,19:16,,10:16,3:16,4:00,0:00,0:00,1:30,1:30,0:00,,
평일,29,,8:33,영구,5038,9:04,방기,15:15,영구,5641,18:25,영구,,,,,,,,,,,,,,,,18:56,,10:30,3:40,4:00,0:50,0:00,0:30,1:30,0:00,,
평일,30,,8:55,영구,5046,10:59,하풍,11:12,하풍,5090,12:16,영구,17:15,영,5669,17:51,답,18:11,답,5646,18:46,영,,,,,,19:16,,9:33,4:33,4:00,0:00,0:00,0:30,0:30,0:00,,
평일,31,,10:24,영구,5593,12:34,영구,15:03,영구,5639,17:46,방기,,,,,,,,,,,,,,,,19:27,,8:53,4:53,2:30,0:00,0:00,0:30,1:00,0:00,,
평일,32,,10:41,영구,5074,12:46,하풍,13:01,하풍,5108,14:05,영구,17:21,영구,5140,18:18,영구,19:14,영구,5654,20:13,영구,,,,,,20:43,,10:21,5:21,4:00,0:00,0:00,0:30,0:30,0:00,,
평일,33,,10:48,영구,5597,12:59,영구,16:19,영구,5130,17:57,답십,18:21,답십,5160,18:56,영구,,,,,,,,,,,18:46,,9:06,4:24,3:42,0:00,0:00,0:30,0:30,0:00,,
평일,34,,10:52,영구,5076,13:59,영구,17:31,영구,5143,18:36,하풍,18:48,하풍,5174,19:53,영구,,,,,,,,,,,20:23,,10:01,5:29,3:32,0:00,0:00,0:30,0:30,0:00,,
